dealstatus,same_sector,same_country,target_sector,acquiror_sector,deal_type,roa_target,initial_stake
1,False,True,Gas,Other,acquisition_stake_increased,-0.142941,22.089
1,True,True,Gas,Gas,acquisition_other%,-1.525,0.0
1,False,True,Machinery,Other,acquisition_100%,-0.319588,0.0
1,False,False,Publishing,Other,acquisition_stake_increased,-0.048947,29.6
1,False,True,Machinery,Other,acquisition_stake_increased,-0.255923,34.36
1,True,True,Other,Other,acquisition_100%,-1.283196,0.0
0,True,False,Primary,Primary,acquisition_100%,-0.110361,0.0
1,False,True,Machinery,Other,acquisition_stake_increased,0.002253,29.41
1,False,True,Chemicals,Metals,acquisition_100%,-1.129524,0.0
1,False,True,Other,Wholesale,acquisition_stake_increased,-0.082225,24.143
1,False,True,Machinery,Metals,acquisition_100%,-1.291457,0.0
1,False,False,Machinery,Other,merger,0.040469,0.0
0,False,True,Metals,Other,acquisition_100%,-0.06107,0.0
0,True,True,Metals,Metals,acquisition_100%,-0.20593,0.0
0,False,False,Metals,Primary,acquisition_100%,-0.227106,0.0
1,False,True,Metals,Primary,acquisition_100%,-0.071963,0.0
1,False,True,Chemicals,Other,acquisition_other%,0.026231,0.0
0,False,False,Metals,Other,acquisition_100%,-0.477357,38.507
1,False,True,Metals,Other,acquisition_100%,-0.201389,0.0
1,True,False,Machinery,Machinery,acquisition_other%,0.075638,0.0
0,False,True,Primary,Chemicals,acquisition_100%,-0.104431,0.0
0,True,True,Other,Other,acquisition_100%,0.070257,0.0
1,False,True,Machinery,Other,acquisition_other%,-0.000823,0.0
1,True,True,Other,Other,acquisition_100%,0.070257,0.0
1,True,True,Other,Other,acquisition_100%,-0.863861,0.0
1,True,True,Other,Other,acquisition_100%,-0.027416,0.0
0,False,True,Primary,Other,acquisition_100%,-0.622633,0.0
0,True,True,Metals,Metals,acquisition_100%,-2.003046,0.0
1,False,True,Other,Wholesale,acquisition_other%,-0.07766,0.0
1,False,True,Machinery,Other,acquisition_100%,-0.300047,0.0
1,False,True,Other,Other,acquisition_100%,-0.186747,0.0
1,False,True,Education,Metals,acquisition_100%,-0.627494,0.0
1,False,True,Other,Primary,acquisition_100%,-6.542557,0.0
1,True,True,Machinery,Machinery,acquisition_other%,-0.419185,0.0
